full_black,full_sour,dried_cherry,fungus,severe_insect,foreign_matter,partial_black,partial_sour,parchment,floater,immature,withered,shell,broken,hull,slight_insect,moisture,color,agtron,quakers,color_title,category_one_total,category_two_total,category_one_equivalent,category_two_equivalent,pass,random_id
0,0,0,0,0,0,0,0,0,0,4,5,0,14,0,9,11,4,0,1,Green,0,32,0,3,TRUE,430999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,Green,0,0,0,0,TRUE,639411
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,Green,0,0,0,0,TRUE,608582
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,Green,0,0,0,0,TRUE,105627
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,None,0,0,0,0,TRUE,291333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,Green,0,0,0,0,TRUE,581863
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,Green,0,0,0,0,TRUE,260390
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,Bluish-Green,0,0,0,0,TRUE,897703
0,0,0,0,0,0,0,0,0,0,16,0,0,53,0,0,12,4,0,0,Green,0,69,0,13,FALSE,277119
0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,1,11,4,0,0,Green,0,23,0,3,TRUE,877680
0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,7,10,4,0,0,Green,1,10,0,0,TRUE,716707
0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,10,11,4,0,1,Green,0,29,0,4,TRUE,696176
0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,12,4,0,0,Green,0,4,0,0,TRUE,386861
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,4,0,0,Green,0,1,0,0,TRUE,305997
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,2,0,2,Blue-Green,0,6,0,0,TRUE,696491
2,0,0,6,38,0,8,6,0,24,72,4,0,242,0,36,28,8,0,44,Green,23,196,7,36,FALSE,995923
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,Bluish-Green,0,0,0,0,TRUE,104828
0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,6,11,3,0,1,Bluish-Green,0,23,0,3,TRUE,565006
0,0,0,0,3,0,0,0,0,0,1,0,9,18,0,13,11,4,0,0,Green,3,41,0,5,TRUE,681680
0,0,0,0,0,0,2,0,0,0,0,3,15,7,0,0,10,2,0,0,Blue-Green,0,27,0,4,TRUE,822842
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,0,0,Green,0,3,0,0,TRUE,759816
0,0,0,0,1,0,0,0,0,0,12,3,0,6,0,6,11,4,0,0,Green,1,27,0,3,TRUE,761203
0,0,0,0,0,0,0,0,0,0,11,1,0,14,0,17,11,4,0,2,Green,0,43,0,5,TRUE,956625
0,0,0,0,2,0,0,0,0,0,4,2,1,7,0,12,0,4,0,0,Green,2,26,0,2,TRUE,365352
0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,10,4,0,0,Green,0,5,0,0,TRUE,161473
0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,15,11,4,0,0,Green,0,28,0,3,TRUE,891574
0,0,0,1,0,0,0,1,0,2,49,0,0,14,0,6,14,4,0,5,Green,1,72,1,11,FALSE,303706
0,0,0,0,1,0,0,0,0,0,3,0,10,15,0,18,9,4,0,1,Green,1,46,0,6,FALSE,984448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,Green,0,0,0,0,TRUE,364359
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,Green,0,0,0,0,TRUE,609320
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,4,0,0,Green,0,2,0,0,TRUE,144448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,Bluish-Green,0,0,0,0,TRUE,587807
0,0,0,0,0,0,0,1,0,0,2,0,0,13,0,22,12,4,0,1,Green,0,38,0,4,TRUE,398999
0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,4,0,0,Green,0,6,0,1,TRUE,662635
0,0,0,0,0,0,5,0,0,0,0,0,6,10,0,0,11,4,0,0,Green,0,21,0,4,TRUE,269388
0,0,0,0,0,0,3,0,0,0,0,0,2,16,0,2,11,4,0,0,Green,0,23,0,4,TRUE,836835
0,0,0,0,5,0,4,0,0,0,0,0,6,18,0,5,0,0,0,5,NA,5,33,1,5,NA,727944
0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,15,10,4,0,1,Green,0,23,0,1,TRUE,232197
0,0,0,0,0,0,2,0,0,0,2,0,0,13,0,0,10,4,0,2,Green,0,17,0,2,TRUE,987192
0,0,0,0,0,0,0,0,0,4,3,1,0,8,0,2,13,4,0,0,Green,0,18,0,1,TRUE,111630
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,NA,0,3,0,0,NA,340359
0,2,0,0,5,0,2,7,0,0,4,5,2,23,0,13,11,4,0,3,Green,7,56,3,8,FALSE,827493
0,1,0,0,2,0,6,4,0,0,4,0,17,28,0,2,11,4,0,0,Green,3,61,1,11,FALSE,791248
0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,10,4,0,1,Green,0,4,0,0,TRUE,144686
0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,2,10,4,0,4,Green,0,20,0,3,FALSE,315089
0,0,0,0,0,0,9,2,0,0,0,0,5,15,0,0,10,4,0,2,Green,0,31,0,7,FALSE,183097
0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,3,0,0,Bluish-Green,0,8,0,0,TRUE,283126
0,0,0,0,0,0,0,0,0,0,10,0,2,8,0,3,8,4,0,2,Green,0,23,0,3,TRUE,950882
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,4,Bluish-Green,0,0,0,0,FALSE,277426
0,0,0,0,0,0,0,2,0,0,4,0,2,3,0,3,11,4,0,0,Green,0,14,0,0,TRUE,829143
0,0,0,0,0,0,4,0,1,0,1,0,6,15,0,0,10,4,0,2,Green,0,27,0,5,TRUE,364810
0,0,0,0,0,0,0,2,0,0,0,2,6,17,0,2,11,4,0,2,Green,0,29,0,4,TRUE,692398
